course_code,course_name,department,teacher,credits,enrollment,class_capacity,teaching_class,campus,course_type,schedule_text,has_virtual_schedule,is_weekend_course,time_bucket
MARX1219,习近平新时代中国特色社会主义思想概论,马克思主义学院,黄琳,3.0,43,90.0,(2025-2026-1)-MARX1219-06,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1219,习近平新时代中国特色社会主义思想概论,马克思主义学院,董方,3.0,80,90.0,(2025-2026-1)-MARX1219-08,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1219,习近平新时代中国特色社会主义思想概论,马克思主义学院,贾鹏飞,3.0,113,117.0,(2025-2026-1)-MARX1219-20,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
BUSS2515,会计学,安泰经济与管理学院,郝盛泉,3.0,35,35.0,(2025-2026-1)-BUSS2515-04,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
BUSS2515,会计学,安泰经济与管理学院,张书博,3.0,35,35.0,(2025-2026-1)-BUSS2515-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
BUSS2515,会计学,安泰经济与管理学院,丁慧,3.0,35,35.0,(2025-2026-1)-BUSS2515-02,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
BUSS2515,会计学,安泰经济与管理学院,黄立,3.0,35,35.0,(2025-2026-1)-BUSS2515-03,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
BUSS2515,会计学,安泰经济与管理学院,石桂峰,3.0,35,35.0,(2025-2026-1)-BUSS2515-05,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
AI3603,人工智能理论及应用,电子信息与电气工程学院,高岳,3.0,70,70.0,(2025-2026-1)-AI3603-01,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
AI3603,人工智能理论及应用,电子信息与电气工程学院,刘满华,3.0,52,70.0,(2025-2026-1)-AI3603-02,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
NAOE4315,船舶设计-II,船舶海洋与建筑工程学院,何炎平,3.0,18,20.0,(2025-2026-1)-NAOE4315-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
NAOE4315,船舶设计-II,船舶海洋与建筑工程学院,陈新权,3.0,20,20.0,(2025-2026-1)-NAOE4315-02,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
NAOE3324,船舶结构力学,船舶海洋与建筑工程学院,张萌萌,3.0,45,50.0,(2025-2026-1)-NAOE3324-02,闵行,"必修,限选",星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,王金凤,3.0,57,90.0,(2025-2026-1)-MARX1208-14,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,贾微晓,3.0,80,90.0,(2025-2026-1)-MARX1208-13,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,张秀,3.0,80,90.0,(2025-2026-1)-MARX1208-15,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,陈恩桃,3.0,110,110.0,(2025-2026-1)-MARX1208-29,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,沈辛成,3.0,90,102.0,(2025-2026-1)-MARX1208-27,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,闫宏秀,3.0,90,90.0,(2025-2026-1)-MARX1208-28,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1208,思想道德与法治,马克思主义学院,王璐怡,3.0,97,97.0,(2025-2026-1)-MARX1208-30,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
CS3313,计算理论,计算机学院,龙环,3.0,60,60.0,(2025-2026-1)-CS3313-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
CCFR1203,强化英语（1）,外国语学院,LIAM PATRICK GOWING,3.0,31,31.0,(2025-2026-1)-CCFR1203-02,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME4301,产品DFX设计,机械与动力工程学院,林艳萍,3.0,30,30.0,(2025-2026-1)-ME4301-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
ME4806,功能材料与器件概论,机械与动力工程学院,倪娜,3.0,30,30.0,(2025-2026-1)-ME4806-01,闵行,交叉课程,星期四第6-8节{1-16周},False,False,afternoon
PE3805,能源材料,机械与动力工程学院,江治,3.0,10,30.0,(2025-2026-1)-PE3805-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
ECOL3505,环境监测与水资源综合实验,农业与生物学院,陈钦程,1.5,12,13.0,(2025-2026-1)-ECOL3505-01,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
EE3901,电工与电子技术（B类）,电气工程学院,乔树通,3.0,40,36.0,(2025-2026-1)-EE3901-01,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
CS3965,密码学导论,致远学院,胡云聪,3.0,29,56.0,(2025-2026-1)-CS3965-01,闵行,"必修,限选",星期四第6-8节{1-16周},False,False,afternoon
PUM2321,管理学原理（B类）,国际与公共事务学院,黄晖,3.0,35,58.0,(2025-2026-1)-PUM2321-02,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ICE3311,智能物联网,电子信息与电气工程学院,苏奇,3.0,23,40.0,(2025-2026-1)-ICE3311-01,闵行,"必修,交叉课程",星期四第6-8节{1-16周},False,False,afternoon
LAW1302,民法总论,凯原法学院,彭诚信,3.0,79,80.0,(2025-2026-1)-LAW1302-01,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MATH4407,图与网络,致远学院,吴耀琨,3.0,25,32.0,(2025-2026-1)-MATH4407-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
MATH4803,数学建模与数学实验,数学科学学院,李大明,3.0,16,51.0,(2025-2026-1)-MATH4803-01,闵行,限选,星期四第6-8节{1-16周},False,False,afternoon
MARX1202,中国近现代史纲要,马克思主义学院,赖锐,3.0,113,90.0,(2025-2026-1)-MARX1202-09,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1202,中国近现代史纲要,马克思主义学院,邓涛,3.0,84,90.0,(2025-2026-1)-MARX1202-10,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1202,中国近现代史纲要,马克思主义学院,邓军,3.0,94,94.0,(2025-2026-1)-MARX1202-26,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1202,中国近现代史纲要,马克思主义学院,马楠,3.0,100,102.0,(2025-2026-1)-MARX1202-27,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1203,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,黑波,3.0,80,90.0,(2025-2026-1)-MARX1203-13,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1203,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,魏旭,3.0,80,90.0,(2025-2026-1)-MARX1203-15,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1203,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,刘伟,3.0,110,90.0,(2025-2026-1)-MARX1203-11,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1203,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,张娅,3.0,85,80.0,(2025-2026-1)-MARX1203-12,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1203,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,魏崇辉,3.0,81,90.0,(2025-2026-1)-MARX1203-14,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1204,马克思主义基本原理,马克思主义学院,鲍金,3.0,47,90.0,(2025-2026-1)-MARX1204-08,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1204,马克思主义基本原理,马克思主义学院,祝薇,3.0,80,90.0,(2025-2026-1)-MARX1204-09,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1204,马克思主义基本原理,马克思主义学院,周露平,3.0,80,90.0,(2025-2026-1)-MARX1204-10,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MARX1204,马克思主义基本原理,马克思主义学院,邵艳梅,3.0,63,70.0,(2025-2026-1)-MARX1204-17,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
MATH6101,表示论基础(研）,研究生院,杨进伟,3.0,0,10.0,MATH6101-071-M01,闵行,nan,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,刘振宇,3.0,25,28.0,(2025-2026-1)-ME1221-19,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,赵兵,3.0,26,29.0,(2025-2026-1)-ME1221-20,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,杨天南,3.0,25,27.0,(2025-2026-1)-ME1221-23,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,邢辉,3.0,26,28.0,(2025-2026-1)-ME1221-24,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,钱小石,3.0,25,27.0,(2025-2026-1)-ME1221-26,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,郭辉,3.0,38,38.0,(2025-2026-1)-ME1221-28,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,武文栋,3.0,27,29.0,(2025-2026-1)-ME1221-21,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,管斌,3.0,26,27.0,(2025-2026-1)-ME1221-22,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,裴景玉,3.0,26,29.0,(2025-2026-1)-ME1221-25,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,李军,3.0,25,29.0,(2025-2026-1)-ME1221-27,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,张海,3.0,19,21.0,(2025-2026-1)-ME1221-29,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,祝国梁,3.0,18,21.0,(2025-2026-1)-ME1221-30,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
ME1221,工程学导论,机械与动力工程学院,翟晓强,3.0,26,30.0,(2025-2026-1)-ME1221-18,闵行,必修,星期四第6-8节{1-16周},False,False,afternoon
PHY8303,表面与低维物理(研）,研究生院,刘亮;李听昕,3.0,1,10.0,PHY8303-072-M01,闵行,nan,星期四第6-8节{1-16周},False,False,afternoon
PHY8402,现代激光技术(研）,研究生院,谢国强,3.0,0,10.0,PHY8402-072-M01,闵行,nan,星期四第6-8节{1-16周},False,False,afternoon
PUM3321,大数据分析,国际与公共事务学院,梁昕,3.0,46,50.0,(2025-2026-1)-PUM3321-01,闵行,"必修,限选",星期四第6-8节{1-16周},False,False,afternoon
POL6301,政治学原理与国际关系理论(研）,研究生院,苏若林,3.0,0,5.0,POL6301-13000-X01,徐汇,nan,"星期四第6-8节{2-7周,9-11周(单),12-17周}",False,False,afternoon
LAW6535,民事程序法(研）,研究生院,王福华,3.0,0,10.0,LAW6535-19000-X01,徐汇,nan,星期四第6-8节{2-17周},False,False,afternoon
AE8104,复合材料有限元分析(研）,研究生院,胡祎乐,3.0,0,5.0,AE8104-41300-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
